transaction_id,date,customer_id,account_type,transaction_type,amount,currency,channel,device,city,status,balance_after,fraud_flag
OB000001,1/13/2025,C00050,Current,Deposit,4756.25,USD,Web,Android,Karachi,Completed,4281.77,0
OB000002,5/23/2025,C00287,Current,Transfer,1811.38,USD,Web,Desktop,Lahore,Pending,46132.04,0
OB000003,11/2/2025,C00116,Current,Transfer,4761.66,USD,Web,Desktop,Islamabad,Failed,25701.21,0
OB000004,1/12/2025,C00283,Current,Withdrawal,2092.5,USD,Mobile App,Desktop,Islamabad,Failed,25535.24,0
OB000005,2/13/2025,C00365,Savings,Withdrawal,4752.78,USD,Mobile App,Android,Islamabad,Pending,47270.91,1
OB000006,1/10/2025,C00225,Current,Withdrawal,1923.63,USD,Mobile App,Android,Lahore,Pending,33958.84,1
OB000007,7/3/2025,C00006,Savings,Withdrawal,3798.77,USD,Web,Android,Peshawar,Completed,27023.08,0
OB000008,11/24/2025,C00269,Current,Deposit,2450.01,USD,Web,iOS,Islamabad,Failed,1737.39,0
OB000009,8/8/2025,C00122,Savings,Transfer,891.98,USD,Mobile App,Desktop,Karachi,Pending,12101.93,0
OB000010,2/12/2025,C00285,Current,Withdrawal,4555.54,USD,Web,Android,Lahore,Pending,36703.55,0
OB000011,8/24/2025,C00106,Savings,Withdrawal,4880.16,USD,Web,iOS,Lahore,Pending,38597.13,0
OB000012,9/27/2025,C00332,Savings,Bill Payment,4673.99,USD,Mobile App,Desktop,Peshawar,Failed,29721.26,0
OB000013,8/28/2025,C00096,Current,Withdrawal,2195.7,USD,Mobile App,iOS,Karachi,Completed,40946.61,0
OB000014,9/27/2025,C00265,Savings,Bill Payment,1544.81,USD,Mobile App,Desktop,Karachi,Completed,14013.46,0
OB000015,11/20/2025,C00223,Savings,Bill Payment,4731.41,USD,Web,iOS,Islamabad,Pending,13088.33,0
OB000016,5/10/2025,C00400,Current,Deposit,1990.2,USD,Web,Desktop,Lahore,Completed,25475.92,0
OB000017,2/26/2025,C00020,Savings,Deposit,493.58,USD,Mobile App,Android,Islamabad,Pending,18202.42,0
OB000018,10/17/2025,C00140,Current,Bill Payment,366.4,USD,Mobile App,Desktop,Peshawar,Completed,25040.17,0
OB000019,8/6/2025,C00001,Savings,Transfer,2358.01,USD,Web,iOS,Karachi,Failed,10846.56,0
OB000020,6/6/2025,C00241,Current,Deposit,1050.9,USD,Mobile App,Desktop,Islamabad,Completed,7479.69,1
OB000021,7/15/2025,C00305,Current,Withdrawal,4535.15,USD,Mobile App,Android,Islamabad,Pending,5855.75,0
OB000022,11/3/2025,C00303,Current,Bill Payment,497.05,USD,Web,Android,Peshawar,Pending,36704.28,0
OB000023,6/18/2025,C00147,Current,Transfer,2853.92,USD,Mobile App,Android,Islamabad,Pending,14923.48,0
OB000024,6/20/2025,C00041,Current,Transfer,3199.48,USD,Mobile App,iOS,Islamabad,Pending,34632.11,0
OB000025,5/18/2025,C00330,Savings,Withdrawal,1084.79,USD,Mobile App,iOS,Karachi,Pending,34717.58,0
OB000026,9/1/2025,C00006,Current,Bill Payment,3465.31,USD,Web,Desktop,Lahore,Failed,15083.03,0
OB000027,11/16/2025,C00226,Savings,Bill Payment,4753.78,USD,Mobile App,Desktop,Islamabad,Failed,7057.47,0
OB000028,11/11/2025,C00106,Savings,Bill Payment,1027.55,USD,Web,iOS,Peshawar,Pending,12865.4,1
OB000029,9/2/2025,C00238,Savings,Transfer,4048.82,USD,Mobile App,Android,Karachi,Pending,11163.6,1
OB000030,4/18/2025,C00337,Current,Deposit,4083.81,USD,Web,Desktop,Lahore,Failed,23591.13,0
OB000031,10/1/2025,C00061,Current,Transfer,193.31,USD,Mobile App,Desktop,Peshawar,Pending,8766.16,1
OB000032,3/28/2025,C00197,Savings,Bill Payment,2749.72,USD,Mobile App,Android,Karachi,Failed,22035.31,0
OB000033,2/10/2025,C00063,Current,Withdrawal,4629.9,USD,Web,Android,Karachi,Completed,12258.95,0
OB000034,8/23/2025,C00110,Savings,Transfer,4526.44,USD,Web,Android,Lahore,Completed,33112.16,1
OB000035,3/3/2025,C00256,Current,Deposit,292.66,USD,Web,Android,Lahore,Completed,47293.7,0
OB000036,10/4/2025,C00394,Savings,Transfer,4523.05,USD,Web,Android,Lahore,Completed,24829.03,0
OB000037,5/16/2025,C00363,Savings,Transfer,4323.8,USD,Mobile App,Android,Islamabad,Completed,18568.87,0
OB000038,10/14/2025,C00303,Savings,Bill Payment,3701.98,USD,Mobile App,Desktop,Peshawar,Failed,31050.2,0
OB000039,5/12/2025,C00186,Current,Withdrawal,2565.26,USD,Mobile App,iOS,Lahore,Completed,25570.56,0
OB000040,8/23/2025,C00027,Savings,Bill Payment,2407.67,USD,Web,Android,Peshawar,Failed,41754.15,0
OB000041,6/12/2025,C00311,Savings,Bill Payment,3337.94,USD,Mobile App,iOS,Lahore,Failed,22414.77,0
OB000042,9/2/2025,C00141,Savings,Withdrawal,4435.95,USD,Mobile App,Android,Karachi,Pending,10930.35,1
OB000043,9/27/2025,C00365,Current,Deposit,2664.16,USD,Web,iOS,Islamabad,Completed,25927.06,0
OB000044,11/12/2025,C00009,Current,Deposit,240.44,USD,Web,Desktop,Peshawar,Completed,12791.69,0
OB000045,12/8/2025,C00177,Current,Bill Payment,4654.95,USD,Web,Android,Lahore,Failed,40373.94,1
OB000046,8/1/2025,C00378,Savings,Withdrawal,4025.16,USD,Mobile App,Desktop,Karachi,Pending,44623.79,0
OB000047,8/4/2025,C00086,Current,Withdrawal,4810.47,USD,Mobile App,Android,Lahore,Completed,39579.38,0
OB000048,9/11/2025,C00332,Current,Deposit,4092.03,USD,Mobile App,Android,Lahore,Completed,30087.84,1
OB000049,11/16/2025,C00256,Savings,Bill Payment,1858.43,USD,Mobile App,Android,Lahore,Pending,32457.07,0
OB000050,8/10/2025,C00151,Current,Transfer,2453.98,USD,Web,Android,Islamabad,Failed,43683.61,0
OB000051,8/6/2025,C00174,Savings,Bill Payment,3649.65,USD,Mobile App,iOS,Lahore,Failed,36934.12,0
OB000052,7/11/2025,C00319,Current,Transfer,2327.98,USD,Mobile App,Desktop,Karachi,Pending,7562.32,0
OB000053,1/7/2025,C00174,Savings,Deposit,4053.21,USD,Mobile App,Desktop,Lahore,Pending,18739.03,0
OB000054,6/16/2025,C00136,Savings,Withdrawal,4719.47,USD,Mobile App,iOS,Lahore,Failed,48478.95,0
OB000055,1/10/2025,C00089,Current,Bill Payment,876.68,USD,Mobile App,Android,Islamabad,Failed,38350.93,0
OB000056,3/23/2025,C00146,Savings,Bill Payment,4906.61,USD,Web,Desktop,Karachi,Failed,27160.82,0
OB000057,11/11/2025,C00072,Savings,Bill Payment,427.51,USD,Mobile App,Android,Lahore,Failed,12693.05,0
OB000058,4/28/2025,C00355,Savings,Deposit,2720.95,USD,Web,iOS,Karachi,Completed,1689.22,0
OB000059,4/7/2025,C00382,Current,Withdrawal,3369.88,USD,Web,Android,Islamabad,Failed,4726.4,0
OB000060,10/18/2025,C00199,Current,Deposit,550.22,USD,Mobile App,iOS,Peshawar,Completed,38232.85,0
OB000061,9/10/2025,C00239,Savings,Transfer,2526.22,USD,Web,Android,Peshawar,Failed,7451.85,1
OB000062,10/14/2025,C00093,Savings,Deposit,3182.55,USD,Web,iOS,Islamabad,Pending,20799.12,0
OB000063,9/25/2025,C00365,Savings,Transfer,3901.46,USD,Web,iOS,Peshawar,Failed,517.27,0
OB000064,2/4/2025,C00056,Savings,Bill Payment,1478.61,USD,Web,iOS,Peshawar,Pending,2482.93,1
OB000065,5/26/2025,C00137,Savings,Deposit,2656.25,USD,Mobile App,iOS,Peshawar,Pending,31048.59,0
OB000066,2/6/2025,C00385,Savings,Bill Payment,2464.35,USD,Web,Android,Karachi,Failed,344.67,1
OB000067,9/22/2025,C00393,Savings,Transfer,4109.66,USD,Web,Desktop,Karachi,Completed,13123.53,0
OB000068,1/20/2025,C00373,Current,Withdrawal,78.36,USD,Web,Desktop,Karachi,Pending,34538.01,1
OB000069,7/21/2025,C00368,Savings,Bill Payment,238.85,USD,Web,iOS,Karachi,Completed,2908.83,0
OB000070,7/21/2025,C00083,Current,Bill Payment,3844.68,USD,Mobile App,Desktop,Lahore,Pending,27192.65,0
OB000071,2/3/2025,C00352,Current,Transfer,802.88,USD,Web,iOS,Peshawar,Failed,10487.14,0
OB000072,10/14/2025,C00118,Savings,Bill Payment,3121.33,USD,Mobile App,Android,Lahore,Completed,15078.7,0
OB000073,4/3/2025,C00020,Savings,Transfer,2471.41,USD,Mobile App,Android,Lahore,Pending,30233.15,1
OB000074,4/4/2025,C00159,Savings,Deposit,2609.18,USD,Web,iOS,Islamabad,Pending,41649.72,0
OB000075,2/7/2025,C00042,Current,Deposit,3995.15,USD,Web,iOS,Peshawar,Pending,2415.9,1
OB000076,11/14/2025,C00359,Savings,Deposit,912.69,USD,Web,Android,Lahore,Pending,7388.45,0
OB000077,6/27/2025,C00147,Savings,Withdrawal,4251.3,USD,Web,Desktop,Islamabad,Pending,39730.47,0
OB000078,3/6/2025,C00317,Current,Deposit,2624.6,USD,Mobile App,iOS,Karachi,Completed,19050.88,0
OB000079,2/3/2025,C00024,Savings,Bill Payment,4089.57,USD,Mobile App,Desktop,Islamabad,Completed,13661.78,1
